key,key:inventor,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
invention-16,inventor-01,CC08-NAME08,"<marquee>Hacked</marquee>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2030/01/01 00:00","2030/12/31 23:59","http://lorem.com/ipsum",true
invention-17,inventor-02,CC09-NAME09,"<script>alert('Hacked!');</script>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2040/06/15 09:00","2041/06/15 09:00","http://lorem.com/ipsum",true
invention-18,inventor-01,CC10-NAME10,"' or 'A' = 'A","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2099/12/31 23:58","2100/01/01 00:00","http://lorem.com/ipsum",false
invention-19,inventor-01,DD01-DESC01,"Lorem ipsum dolor sit amet","L","2199/12/31 23:59","2200/01/01 00:00","http://lorem.com/ipsum",true
invention-20,inventor-02,DD02-DESC02,"Lorem ipsum dolor sit amet","Lo","2200/01/01 00:00","2200/01/01 00:01","http://lorem.com/ipsum",true
invention-21,inventor-01,DD03-DESC03,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor","2200/06/01 00:00","2200/12/31 23:59","http://lorem.com/ipsum",true
invention-22,inventor-01,DD04-DESC04,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*","2200/12/31 23:58","2200/12/31 23:59","http://lorem.com/ipsum",true
invention-23,inventor-02,DD05-DESC05,"Lorem ipsum dolor sit amet","โลเร็ม อิปซัม","2025/01/08 00:00","2025/01/08 00:01","http://lorem.com/ipsum",true
invention-24,inventor-02,DD06-DESC06,"Lorem ipsum dolor sit amet","لوريم إيبسوم","2200/12/31 23:58","2200/12/31 23:59","http://lorem.com/ipsum",true
invention-25,inventor-01,DD07-DESC07,"Lorem ipsum dolor sit amet","洛伦·伊普森","2200/12/31 23:58","2200/12/31 23:59","http://lorem.com/ipsum",true
invention-26,inventor-01,DD08-DESC08,"Lorem ipsum dolor sit amet","<marquee>Hacked</marquee>","2025/04/01 00:00","2025/04/01 00:01","http://lorem.com/ipsum",true
invention-27,inventor-02,DD09-DESC09,"Lorem ipsum dolor sit amet","<script>alert('Hacked!');</script>","2025/04/30 23:59","2025/05/01 00:00","http://lorem.com/ipsum",true
invention-28,inventor-02,DD10-DESC10,"Lorem ipsum dolor sit amet","' or 'A' = 'A","2025/08/31 00:00","2025/09/30 00:00","http://lorem.com/ipsum",true
invention-29,inventor-01,EE01-SMOM01,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/08 00:00","2025/01/08 00:01","http://lorem.com/ipsum",true
invention-30,inventor-02,EE02-SMOM02,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/08 00:01","2025/01/31 00:02","http://lorem.com/ipsum",true
invention-31,inventor-01,EE03-SMOM03,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2028/02/29 00:00","2028/03/30 00:00","http://lorem.com/ipsum",true
invention-32,inventor-01,FF01-EMOM01,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2200/12/31 23:58","2200/12/31 23:59","http://lorem.com/ipsum",true
invention-33,inventor-02,FF02-EMOM02,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/08 0:01","2200/12/31 23:59","http://lorem.com/ipsum",true
invention-34,inventor-02,FF03-EMOM03,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/08 12:00","2025/01/09 12:00","http://lorem.com/ipsum",true
invention-35,inventor-01,FF04-EMOM04,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2200/12/01 00:00","2200/12/31 23:59","http://lorem.com/ipsum",true
invention-36,inventor-02,FF05-EMOM05,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2200/12/31 00:00","2200/12/31 23:59","http://lorem.com/ipsum",true
invention-37,inventor-01,GG01-MINF01,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/02/01 00:00","2025/03/01 00:00","",true
invention-38,inventor-01,HH01-URL01,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/02/15 09:00","2025/02/22 09:00","http://lorem.com/ipsum",true
invention-39,inventor-02,HH02-URL02,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/03/01 00:00","2025/06/01 00:00","http://a.b",true
invention-40,inventor-02,HH03-URL03,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/03/31 23:59","2025/04/01 00:00","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",true
invention-41,inventor-01,HH04-URL04,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/05/01 08:00","2025/05/31 08:00","http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",true
invention-42,inventor-02,HH05-URL05,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/06/30 00:00","2025/07/01 00:00","http://www.lorem-ipsum.org",true
invention-43,inventor-01,HH06-URL06,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/07/01 10:00","2025/10/01 10:00","https://www.lorem-ipsum.org",true
invention-44,inventor-01,HH07-URL07,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/08/31 23:59","2025/09/01 00:00","http://www.lorem-ipsum.org/dolor/sit.html",true
invention-45,inventor-02,HH08-URL08,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/10/01 00:00","2025/12/31 23:59","http://www.lorem-ipsum.org/dolor/sit.html#dolor",true
invention-46,inventor-02,HH09-URL09,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2026/01/08 00:00","2026/04/08 00:00","http://example.org?a=1&b=2",true
invention-47,inventor-01,HH10-URL10,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2026/02/28 12:00","2026/03/01 12:00","http://example.org?",true
invention-48,inventor-01,HH11-URL11,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2026/12/31 23:59","2027/01/01 00:00","http://example.org?a",true
invention-49,inventor-02,HH12-URL12,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2027/01/08 00:00","2027/07/08 00:00","http://example.org?a&b",true
invention-50,inventor-02,HH13-URL13,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2027/12/31 00:00","2028/01/31 00:00","http://example.org/",true
invention-51,inventor-01,HH14-URL14,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2028/02/29 23:59","2028/03/01 00:00","http://example.org/a",true
invention-52,inventor-02,HH15-URL15,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2030/06/15 09:30","2030/06/22 09:30","http://example.org/a/b",true
invention-53,inventor-01,HH16-URL16,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2031/12/31 23:59","2032/01/01 00:00","http://example.org/a/b?",true
invention-54,inventor-01,HH17-URL17,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2032/02/29 00:00","2032/03/01 00:00","http://example.org/a/b?a&b",true
invention-55,inventor-02,II01-DRFT01,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/08 00:00","2025/01/08 00:01","http://lorem.com/ipsum",false
